remote,station,boroname,neighborhood,postal,latitude,longitude
R023,34TH STREET & 6TH AVENUE,Manhattan,Chelsea and Clinton,10001,40.749533,-73.987899
R024,SUTPHIN BOULEVARD,Queens,Jamaica,11435,40.700488,-73.807933
R025,JAMAICA CENTER-PARSONS BLVD,Queens,Jamaica,11433,40.702131,-73.80111
R027,WALL STREET,Manhattan,Lower Manhattan,10005,40.706864,-74.009056
R028,FULTON & WILLIAM STREETS,Manhattan,Lower Manhattan,10038,40.709938,-74.007983
R029,PARK PLACE,Manhattan,Lower Manhattan,10007,40.713061,-74.008777
R030,CHAMBERS STREET,Manhattan,Lower Manhattan,10007,40.715436,-74.009335
R031,34TH STREET & 7TH AVENUE,Manhattan,Chelsea and Clinton,10001,40.750329,-73.991096
R032,42ND STREET/TIMES SQUARE,Manhattan,Chelsea and Clinton,10036,40.755905,-73.986504
R033,42ND STREET/TIMES SQUARE,Manhattan,Chelsea and Clinton,10036,40.755905,-73.986504
R034,125TH STREET & BROADWAY,Manhattan,Central Harlem,10027,40.815596,-73.958395
R035,168TH STREET & BROADWAY,Manhattan,Inwood and Washington Heights,10032,40.840778,-73.940091
R036,DYCKMAN STREET,Manhattan,Inwood and Washington Heights,10040,40.860523,-73.925575
R037,207TH STREET,Manhattan,Inwood and Washington Heights,10034,40.864653,-73.918719
R038,215TH STREET,Manhattan,Inwood and Washington Heights,10034,40.869359,-73.915329
R039,225TH STREET,Manhattan,Kingsbridge and Riverdale,10463,40.874551,-73.909879
R040,231ST STREET,Bronx,Kingsbridge and Riverdale,10463,40.878867,-73.904858
R041,BOWLING GREEN & BATTERY PL,Manhattan,Lower Manhattan,10004,40.704782,-74.014099
R042,BOWLING GREEN & BROADWAY,Manhattan,Lower Manhattan,10004,40.704782,-74.014099
R043,WALL STREET,Manhattan,Lower Manhattan,10005,40.707466,-74.011867
R044,BROOKLYN BRIDGE,Manhattan,Lower Manhattan,10007,40.713159,-74.003917
R045,42ND STREET & GRAND CENTRAL,Manhattan,Gramercy Park and Murray Hill,10017,40.751849,-73.976945
R046,42ND STREET & GRAND CENTRAL,Manhattan,Gramercy Park and Murray Hill,10017,40.751849,-73.976945
R047,42ND STREET & GRAND CENTRAL,Manhattan,Gramercy Park and Murray Hill,10017,40.751849,-73.976945
R048,42ND STREET & 3RD AVENUE,Manhattan,Gramercy Park and Murray Hill,10017,40.751849,-73.976945
R049,51ST STREET & LEXINGTON AVE,Manhattan,Gramercy Park and Murray Hill,10022,40.757108,-73.97187
R050,59TH STREET & LEXINGTON AVE,Manhattan,Gramercy Park and Murray Hill,10022,40.762796,-73.967686
R051,59TH STREET & LEXINGTON AVE,Manhattan,Gramercy Park and Murray Hill,10022,40.762796,-73.967686
R052,WOODLAWN ROAD,Bronx,Kingsbridge and Riverdale,10471,40.885973,-73.878851
R053,149TH STREET & 3RD AVENUE,Bronx,Hunts Point and Mott Haven,10455,40.816132,-73.917754
R054,FIFTH AVENUE & 42ND STREET,Manhattan,Chelsea and Clinton,10018,40.753824,-73.981966
R055,MAIN STREET,Queens,North Queens,11354,40.759578,-73.830056
R056,NEVINS STREET,Brooklyn,Northwest Brooklyn,11217,40.688269,-73.980453
R057,BARCLAYS CENTER,Brooklyn,Northwest Brooklyn,11217,40.684063,-73.977417
R058,BERGEN STREET,Brooklyn,Northwest Brooklyn,11217,40.680801,-73.975132
R059,GRAND ARMY PLAZA,Brooklyn,Central Brooklyn,11238,40.675219,-73.971012
R060,EASTERN PARKWAY,Brooklyn,Central Brooklyn,11238,40.672013,-73.96436
R061,NOSTRAND AVENUE,Brooklyn,Central Brooklyn,11213,40.669735,-73.950455
R062,UTICA AVENUE,Brooklyn,Central Brooklyn,11213,40.669279,-73.932967
R063,SUTTER AVENUE,Brooklyn,Central Brooklyn,11212,40.664591,-73.922668
R064,SARATOGA AVENUE,Brooklyn,Central Brooklyn,11212,40.661466,-73.916316
R065,ROCKAWAY AVENUE,Brooklyn,Central Brooklyn,11212,40.662541,-73.908763
R066,JUNIUS STREET,Brooklyn,Central Brooklyn,11212,40.663419,-73.902454
R067,PENNSYLVANIA AVENUE,Brooklyn,East New York and New Lots,11207,40.664884,-73.894258
R068,VAN SICLEN AVENUE,Brooklyn,East New York and New Lots,11207,40.665405,-73.889451
R069,NEW LOTS AVENUE,Brooklyn,East New York and New Lots,11207,40.666252,-73.884087
R070,ST GEORGE TERMINAL,Staten Island,Stapleton and St. George,10301,40.643738,-74.073622
R072,34TH STREET - HUDSON YARDS,Manhattan,Chelsea and Clinton,10001,40.7549713,-74.0031971
R079,FIFTH AVENUE & 60TH STREET,Manhattan,Upper West Side,10023,40.764909,-73.973372
R080,57TH STREET & 7TH AVENUE,Manhattan,Chelsea and Clinton,10019,40.764755,-73.980646
R081,49TH STREET & 7TH AVENUE,Manhattan,Chelsea and Clinton,10019,40.760139,-73.984112
R082,28TH STREET & BROADWAY,Manhattan,Chelsea and Clinton,10001,40.745574,-73.988682
R083,23RD STREET & 5TH AVENUE,Manhattan,Gramercy Park and Murray Hill,10010,40.741006,-73.989315
R084,59TH STREET/COLUMBUS CIRCLE,Manhattan,Upper West Side,10023,40.76811,-73.981891
R085,8TH STREET & BROADWAY,Manhattan,Lower East Side,10003,40.730348,-73.992705
R086,PRINCE STREET & BROADWAY,Manhattan,Greenwich Village and Soho,10012,40.724332,-73.997684
R087,CITY HALL,Manhattan,Lower Manhattan,10007,40.713086,-74.007232
