"REMOTE","STATION"
"R001","WHITEHALL STREET              "
"R003","CYPRESS HILLS                 "
"R004","75TH STREET & ELDERTS LANE    "
"R005","85TH STREET & FOREST PKWAY    "
"R006","WOODHAVEN BOULEVARD           "
"R007","104TH STREET                  "
"R008","111TH STREET                  "
"R009","121ST STREET                  "
"R010","42ND STREET & 8TH AVENUE      "
"R011","42ND STREET & 8TH AVENUE      "
"R012","34TH STREET & 8TH AVENUE      "
"R013","34TH STREET & 8TH AVENUE      "
"R014","FULTON STREET                 "
"R015","FIFTH AVENUE                  "
"R016","LEXINGTON AVENUE              "
"R017","LEXINGTON AVENUE              "
"R018","ROOSEVELT AVE/JACKSON HTS     "
"R019","179TH STREET & HILLSIDE AVE   "
"R020","47-50 STREETS/ROCKEFELLER     "
"R021","42ND STREET & 6TH AVENUE      "
"R022","34TH STREET & 6TH AVENUE      "
"R023","34TH STREET & 6TH AVENUE      "
"R024","SUTPHIN BOULEVARD             "
"R025","JAMAICA CENTER-PARSONS BLVD   "
"R027","WALL STREET                   "
"R028","FULTON & WILLIAM STREETS      "
"R029","PARK PLACE                    "
"R030","CHAMBERS STREET               "
"R031","34TH STREET & 7TH AVENUE      "
"R032","42ND STREET/TIMES SQUARE      "
"R033","42ND STREET/TIMES SQUARE      "
"R034","125TH STREET & BROADWAY       "
"R035","168TH STREET & BROADWAY       "
"R036","DYCKMAN STREET                "
"R037","207TH STREET                  "
"R038","215TH STREET                  "
"R039","225TH STREET                  "
"R040","231ST STREET                  "
"R041","BOWLING GREEN & BATTERY PL    "
"R042","BOWLING GREEN & BROADWAY      "
"R043","WALL STREET                   "
"R044","BROOKLYN BRIDGE               "
"R045","42ND STREET & GRAND CENTRAL   "
"R046","42ND STREET & GRAND CENTRAL   "
"R047","42ND STREET & GRAND CENTRAL   "
"R048","42ND STREET & 3RD AVENUE      "
"R049","51ST STREET & LEXINGTON AVE   "
"R050","59TH STREET & LEXINGTON AVE   "
"R051","59TH STREET & LEXINGTON AVE   "
"R052","WOODLAWN ROAD                 "
"R053","149TH STREET & 3RD AVENUE     "
"R054","FIFTH AVENUE & 42ND STREET    "
"R055","MAIN STREET                   "
"R056","NEVINS STREET                 "
"R057","BARCLAYS CENTER               "
"R058","BERGEN STREET                 "
"R059","GRAND ARMY PLAZA              "
"R060","EASTERN PARKWAY               "
"R061","NOSTRAND AVENUE               "
"R062","UTICA AVENUE                  "
"R063","SUTTER AVENUE                 "
"R064","SARATOGA AVENUE               "
"R065","ROCKAWAY AVENUE               "
"R066","JUNIUS STREET                 "
"R067","PENNSYLVANIA AVENUE           "
"R068","VAN SICLEN AVENUE             "
"R069","NEW LOTS AVENUE               "
"R070","ST GEORGE TERMINAL            "
"R072","34TH STREET - HUDSON YARDS    "
"R079","FIFTH AVENUE & 60TH STREET    "
"R080","57TH STREET & 7TH AVENUE      "
"R081","49TH STREET & 7TH AVENUE      "
"R082","28TH STREET & BROADWAY        "
"R083","23RD STREET & 5TH AVENUE      "
"R084","59TH STREET/COLUMBUS CIRCLE   "
"R085","8TH STREET & BROADWAY         "
"R086","PRINCE STREET & BROADWAY      "
"R087","CITY HALL                     "
"R088","CORTLANDT STREET              "
"R089","JAY ST-METROTECH              "
"R090","39TH AVENUE & 31ST STREET     "
"R091","36TH AVENUE & 31ST STREET     "
"R092","BROADWAY & 31ST STREET        "
"R093","30TH AVENUE & 31ST STREET     "
"R094","ASTORIA BLVD & 31ST STREET    "
"R095","DITMARS BLVD & 31ST STREET    "
"R096","82ND STREET-JACKSON HEIGHTS   "
"R097","JUNCTION BLVD-ROOSEVELT AVE   "
"R098","CHURCH AVENUE                 "
"R099","DEKALB AVENUE                 "
"R100","METROPOLITAN AVENUE           "
"R101","145TH STREET                  "
"R102","125TH STREET                  "
"R103","BROADWAY-EAST NEW YORK        "
"R104","167TH ST-GRAND CONCOURSE      "
"R105","14TH STREET & 7TH AVENUE      "
"R106","CASTLE HILL AVENUE            "
"R107","WESTCHESTER SQUARE            "
"R108","BOROUGH HALL - COURT STREET   "
"R109","CHURCH AVENUE & NOSTRAND AV   "
"R110","FLATBUSH AVE & NOSTRAND AV    "
"R111","23RD STREET & 8TH AVENUE      "
"R112","FORDHAM RD/GRAND CONCOURSE    "
"R113","SEVENTH AVENUE & WEST 53RD    "
"R114","PARSONS BLVD & HILLSIDE AV    "
"R115","169TH STREET & HILLSIDE AVE   "
"R116","50TH STREET & 7TH AVENUE      "
"R117","242ND STREET & BROADWAY       "
"R118","CANAL STREET                  "
"R119","FORDHAM ROAD & JEROME AVE     "
"R120","MORRISON AVE & WESTCHESTER    "
"R121","QUEENSBORO PLAZA              "
"R122","90TH STREET/ELMHURST AVENUE   "
