"date","weeknumber","weekly_ridership_2019","weekly_ridership_2020"
2020-01-04,"01",22530327,23240709
2020-01-11,"02",26264467,25143433
2020-01-18,"03",30120797,30367054
2020-01-25,"04",30170256,30463850
2020-02-01,"05",26988108,27859073
2020-02-08,"06",30158563,30458873
2020-02-15,"07",31378467,30808972
2020-02-22,"08",31099690,30848304
2020-02-29,"09",28206786,27479496
2020-03-07,"10",31406559,30768135
2020-03-14,"11",31032100,30048172
2020-03-21,"12",32496488,25318607
2020-03-28,"13",32171934,10374373
2020-04-04,"14",32395405,4287692
2020-04-11,"15",32953012,2988733
2020-04-18,"16",33144562,2494256
2020-04-25,"17",32571335,2389808
2020-05-02,"18",30379787,2548002
2020-05-09,"19",33042199,2733833
2020-05-16,"20",33059548,3006103
2020-05-23,"21",32734889,3191110
2020-05-30,"22",33184314,3527343
2020-06-06,"23",29624350,3470036
2020-06-13,"24",32574378,3998493
2020-06-20,"25",32768548,4737062
2020-06-27,"26",32248656,5314568
2020-07-04,"27",32485700,5904331
2020-07-11,"28",27532894,6055526
2020-07-18,"29",30611946,6294709
2020-07-25,"30",31010877,6884158
2020-08-01,"31",30198509,6865296
2020-08-08,"32",30671058,7063643
2020-08-15,"33",30468991,7059183
2020-08-22,"34",29973029,7343623
2020-08-29,"35",28914092,7444040
2020-09-05,"36",29454144,7606032
2020-09-12,"37",28683599,7841650
2020-09-19,"38",33574916,7905616
2020-09-26,"39",33812444,8905330
2020-10-03,"40",34225415,9103325
2020-10-10,"41",32294512,9059811
2020-10-17,"42",32632030,9384000
2020-10-24,"43",32558105,8940124
2020-10-31,"44",33830376,9527878
2020-11-07,"45",33521805,9321478
2020-11-14,"46",33942064,9101354
2020-11-21,"47",32478264,9344338
2020-11-28,"48",33295755,9254670
2020-12-05,"49",26672648,7565652
2020-12-12,"50",32438055,8552603
2020-12-19,"51",34087458,8805340
2020-12-26,"52",33377699,8153795
2021-01-02,"52",33377699,7465923
2021-01-09,"01",22530327,6796814
2021-01-16,"02",26264467,7999470
2021-01-23,"03",30120797,8147775
2021-01-30,"04",30170256,7876594
2021-02-06,"05",26988108,7954745
2021-02-13,"06",30158563,6853797
2021-02-20,"07",31378467,8282305
2021-02-27,"08",31099690,7601958
2021-03-06,"09",28206786,8569469
2021-03-13,"10",31406559,8679680
2021-03-20,"11",31032100,9005176
2021-03-27,"12",32496488,8967294
2021-04-03,"13",32171934,9276094
2021-04-10,"14",32395405,8868795
2021-04-17,"15",32953012,9532307
2021-04-24,"16",33144562,9560066
2021-05-01,"17",32571335,9895789
2021-05-08,"18",30379787,10003994
2021-05-15,"19",33042199,10311837
2021-05-22,"20",33059548,10315020
2021-05-29,"21",32734889,10708511
2021-06-05,"22",33184314,10881524
2021-06-12,"23",29624350,9947787
2021-06-19,"24",32574378,11411825
2021-06-26,"25",32768548,11770856
2021-07-03,"26",32248656,11698490
2021-07-10,"27",32485700,11180523
2021-07-17,"28",27532894,10443003
2021-07-24,"29",30611946,11555877
2021-07-31,"30",31010877,11561732
2021-08-07,"31",30198509,11519921
2021-08-14,"32",30671058,11550634
2021-08-21,"33",30468991,11211808
2021-08-28,"34",29973029,11186649
2021-09-04,"35",28914092,10512162
2021-09-11,"36",29454144,10373875
2021-09-18,"37",28683599,10987979
2021-09-25,"38",33574916,13193791
2021-10-02,"39",33812444,13749169
2021-10-09,"40",34225415,13868569
2021-10-16,"41",32294512,14036800
2021-10-23,"42",32632030,13549534
2021-10-30,"43",32558105,14279209
2021-11-06,"44",33830376,13953307
2021-11-13,"45",33521805,14030667
2021-11-20,"46",33942064,14218859
2021-11-27,"47",32478264,14624179
2021-12-04,"48",33295755,12007676
