date,location,Visits/POI,Prop. devices competely at home,Time at home (mins),Median distance traveled (m)
3/1/2020,Bronx,11.36,0.4006,796,2995
3/1/2020,Brooklyn,8.48,0.3701,831,2753
3/1/2020,Manhattan,7.12,0.3366,707,2715.5
3/1/2020,NYC,8.73,0.3611,826,3018.5
3/1/2020,Queens,9.4,0.3601,879,3425
3/1/2020,Staten Island,11.73,0.3123,956,4140
3/2/2020,Bronx,13.53,0.2867,648,3464
3/2/2020,Brooklyn,9.55,0.2545,680,3579
3/2/2020,Manhattan,9.46,0.2606,595,2446
3/2/2020,NYC,10.25,0.2565,676,3639
3/2/2020,Queens,10.12,0.2523,703,4417
3/2/2020,Staten Island,12.6,0.2145,744,4372.5
3/3/2020,Bronx,12.12,0.2758,652.5,3541.5
3/3/2020,Brooklyn,8.81,0.2481,671,3568
3/3/2020,Manhattan,9.29,0.2511,604,2384
3/3/2020,NYC,9.66,0.246,672,3656
3/3/2020,Queens,9.46,0.2408,703,4458.5
3/3/2020,Staten Island,12.03,0.1926,730,4533
3/4/2020,Bronx,11.82,0.2719,667,3533
3/4/2020,Brooklyn,8.95,0.2464,685,3475
3/4/2020,Manhattan,9.46,0.2503,603,2310
3/4/2020,NYC,9.7,0.2463,681.5,3553.5
3/4/2020,Queens,9.37,0.242,706,4275.5
3/4/2020,Staten Island,12.11,0.2051,750,4553
3/5/2020,Bronx,12.56,0.2606,626.5,3471
3/5/2020,Brooklyn,9.39,0.2268,656,3390
3/5/2020,Manhattan,9.71,0.2395,583,2357
3/5/2020,NYC,10.14,0.2302,655,3520
3/5/2020,Queens,9.9,0.224,687,4308
3/5/2020,Staten Island,12.73,0.1873,727,4343
3/6/2020,Bronx,12.51,0.2559,610,3591
3/6/2020,Brooklyn,9.24,0.2333,649,3575.5
3/6/2020,Manhattan,9.6,0.2355,550.5,2506
3/6/2020,NYC,10.06,0.2301,637,3663
3/6/2020,Queens,9.84,0.2235,673,4322
3/6/2020,Staten Island,12.97,0.1854,704,4327
3/7/2020,Bronx,12.18,0.3216,698,3334
3/7/2020,Brooklyn,9.12,0.3093,743,3102
3/7/2020,Manhattan,8.66,0.2803,599,2859.5
3/7/2020,NYC,9.8,0.2945,729,3354
3/7/2020,Queens,10.17,0.293,776,3708.5
3/7/2020,Staten Island,13.75,0.233,848.5,4440
3/8/2020,Bronx,10.12,0.3493,760,2970
3/8/2020,Brooklyn,7.89,0.3256,794,2659.5
3/8/2020,Manhattan,6.69,0.2929,652,2451
3/8/2020,NYC,8.04,0.3168,795,2900
3/8/2020,Queens,8.52,0.3188,860,3155
3/8/2020,Staten Island,10.86,0.2709,941,4104
3/9/2020,Bronx,12.98,0.2618,638,3353
3/9/2020,Brooklyn,9.33,0.2403,668,3385
3/9/2020,Manhattan,9.29,0.2448,583,2240
3/9/2020,NYC,10.01,0.2389,670,3442
