date,location,Visits/POI,Prop. devices completely at home,Time at home (mins),Median distance traveled (m)
2020-03-01,10001,10.33,0.2698,298,4355
2020-03-01,10002,6.99,0.3484,773,1599
2020-03-01,10003,6.78,0.2735,643.5,1774
2020-03-01,10004,6.39,0.2707,583,4197
2020-03-01,10005,4.98,0.3002,583,3591
2020-03-01,10006,7.93,0.2233,255.5,7064.5
2020-03-01,10007,7.59,0.3486,244.5,5256
2020-03-01,10009,5.97,0.3546,746,1732
2020-03-01,10010,5.72,0.2792,605.5,2417
2020-03-01,10011,5.04,0.29,685,2728
2020-03-01,10012,5.37,0.2993,685,2298.5
2020-03-01,10013,5.9,0.3435,530,3537
2020-03-01,10014,4.61,0.2911,346,3357
2020-03-01,10016,4.52,0.2946,613,3127
2020-03-01,10017,5.1,0.2968,635.5,3589
2020-03-01,10018,6.65,0.3044,315,5323
2020-03-01,10019,9.89,0.3272,521,3743
2020-03-01,10020,10.11,0.2839,115.5,7019
2020-03-01,10021,4.19,0.2829,690,2423
2020-03-01,10022,4.35,0.2718,617,2574
2020-03-01,10023,7.78,0.2891,825.5,2386
2020-03-01,10024,6.2,0.3408,775,2568
2020-03-01,10025,7.57,0.3221,733,2977
2020-03-01,10026,10.94,0.411,719,2630
2020-03-01,10027,11.57,0.38,720,2539
2020-03-01,10028,5.35,0.2924,800,3001
2020-03-01,10029,10.03,0.4023,739.5,2244.5
2020-03-01,10030,9.39,0.417,754,2537
2020-03-01,10031,8.59,0.4098,763,3576.5
2020-03-01,10032,8.88,0.3948,744.5,2919.5
2020-03-01,10033,7.6,0.3775,761.5,3165.5
2020-03-01,10034,7.58,0.403,803.5,3346
2020-03-01,10035,11.97,0.4063,770,2412.5
2020-03-01,10036,12.01,0.3468,511,3852
2020-03-01,10037,12.45,0.4042,755,2254.5
2020-03-01,10038,7.36,0.3235,790,1733.5
2020-03-01,10039,14.19,0.3675,763,2336.5
2020-03-01,10040,7.45,0.3842,837,3020.5
2020-03-01,10044,10.51,0.4198,432.5,3228
2020-03-01,10065,5.28,0.2934,603,2315
2020-03-01,10069,6.68,0.2936,839,2266
2020-03-01,10075,4.35,0.2805,808,2680
2020-03-01,10128,5.56,0.3058,727,3341
2020-03-01,10280,7.65,0.308,815.5,3609.5
2020-03-01,10282,16.97,0.2656,556,2606
2020-03-01,10301,10.12,0.3333,824,3930
2020-03-01,10302,11.33,0.3159,948,2929
2020-03-01,10303,12.69,0.3493,885,4623.5
2020-03-01,10304,8.37,0.34,854.5,4421
2020-03-01,10305,8.34,0.3404,974,5173
2020-03-01,10306,9.62,0.3219,1007.5,4226.5
2020-03-01,10307,12.28,0.2652,1040.5,6301
2020-03-01,10308,9.54,0.2997,1022.5,4671.5
2020-03-01,10309,14.39,0.2798,1040.5,4469
2020-03-01,10310,12.94,0.3078,948,2776
2020-03-01,10312,12.44,0.2885,1028.5,4350.5
2020-03-01,10314,15,0.3138,951,3668
2020-03-01,10451,16.41,0.41,770,2146
2020-03-01,10452,13.7,0.4022,797,2492.5
2020-03-01,10453,12.82,0.4206,796,2524
2020-03-01,10454,9.68,0.4008,665,2733
2020-03-01,10455,12.03,0.4056,741,2886
2020-03-01,10456,16.67,0.4139,755,2426
2020-03-01,10457,11.01,0.407,766.5,2417.5
2020-03-01,10458,11.34,0.3957,828,2434
2020-03-01,10459,13.34,0.4002,800,3159
2020-03-01,10460,16.48,0.3946,812,3118
2020-03-01,10461,6.46,0.4083,886,3746
2020-03-01,10462,10.35,0.4198,834,3167
2020-03-01,10463,9.06,0.3591,838,3843
2020-03-01,10464,11.3,0.377,838.5,3991
2020-03-01,10465,8.55,0.369,872.5,4258
2020-03-01,10466,9.1,0.4188,760,3569.5
2020-03-01,10467,10.56,0.3988,785,3160
2020-03-01,10468,12.52,0.3991,779,2433
2020-03-01,10469,8.57,0.3921,806,3387.5
2020-03-01,10470,8.35,0.3817,713,3740
2020-03-01,10471,9.03,0.3349,785.5,6634.5
2020-03-01,10472,13.51,0.4055,811,2721
2020-03-01,10473,13.77,0.3911,750,4113.5
2020-03-01,10474,5.73,0.4155,783,3403
2020-03-01,10475,15.46,0.374,826,3273
2020-03-01,11004,9.89,0.3292,935,4746.5
2020-03-01,11005,12.33,0.3098,937,6236.5
2020-03-01,11101,7.6,0.3739,646.5,3272
2020-03-01,11102,7.37,0.389,760,2201
2020-03-01,11103,5.44,0.3794,701,1911
2020-03-01,11104,6.69,0.3426,783,2495.5
2020-03-01,11105,7.09,0.3538,839,2588
2020-03-01,11106,7.45,0.3916,768,2653
2020-03-01,11109,8.82,0.4305,246,3348
2020-03-01,11201,6.07,0.3208,851.5,2894
2020-03-01,11203,8.57,0.3843,802.5,2754.5
2020-03-01,11204,7.81,0.3656,881.5,2350.5
2020-03-01,11205,5.74,0.3604,782,2393
2020-03-01,11206,7.58,0.3639,751.5,3233
2020-03-01,11207,11.05,0.3959,797.5,3308
2020-03-01,11208,12.4,0.4075,826.5,3453.5
2020-03-01,11209,6.94,0.3608,964,2886
2020-03-01,11210,9.32,0.393,832,2691
2020-03-01,11211,4.28,0.3315,648,3299.5
2020-03-01,11212,12.18,0.3828,810.5,2844.5
2020-03-01,11213,9.07,0.3817,740,2754
2020-03-01,11214,14.42,0.3623,952.5,2643.5
2020-03-01,11215,4.49,0.3276,834,2317
2020-03-01,11216,6.53,0.3831,722.5,2929
2020-03-01,11217,6.93,0.3491,700.5,3139.5
2020-03-01,11218,7.65,0.3837,852,2731
2020-03-01,11219,5.98,0.3633,839,2145
2020-03-01,11220,8.82,0.385,904,2270
2020-03-01,11221,7.62,0.3744,751,3199.5
2020-03-01,11222,3.97,0.3065,653.5,3642
2020-03-01,11223,10.15,0.3362,912.5,2315.5
2020-03-01,11224,12.46,0.364,893.5,3236.5
2020-03-01,11225,7.85,0.3951,707,2882.5
2020-03-01,11226,9.2,0.41,807,2996
2020-03-01,11228,9.36,0.3333,1052,2197.5
2020-03-01,11229,9.14,0.3498,901,2510
2020-03-01,11230,9.1,0.3638,858,2732.5
2020-03-01,11231,5.26,0.3636,970,2274.5
2020-03-01,11232,7.54,0.3588,697,2931
2020-03-01,11233,10.43,0.4005,776.5,3333
2020-03-01,11234,12.28,0.3438,971.5,3170
2020-03-01,11235,12.84,0.3662,901.5,2255.5
2020-03-01,11236,10.22,0.38,816,2945
2020-03-01,11237,5.87,0.3491,768.5,2802
2020-03-01,11238,5.06,0.3599,716,2420
2020-03-01,11239,58.83,0.4221,825.5,2996.5
2020-03-01,11354,7.96,0.3363,909.5,2388.5
2020-03-01,11355,8.15,0.3555,846.5,2632.5
2020-03-01,11356,17.25,0.3001,989.5,4841
2020-03-01,11357,8.06,0.2924,1008,3224
2020-03-01,11358,6.27,0.3005,996,3181
2020-03-01,11359,10.8,0.2922,1075,5098
2020-03-01,11360,19.28,0.2716,985,3399
2020-03-01,11361,6.62,0.3103,975.5,4296
2020-03-01,11362,8.84,0.3127,968.5,5566.5
2020-03-01,11363,4.39,0.285,1093,4986
2020-03-01,11364,9.69,0.307,1048.5,4938.5
2020-03-01,11365,13.25,0.3277,971,4538.5
2020-03-01,11366,6.68,0.2939,908,4696.5
2020-03-01,11367,8.36,0.3565,896,4110
2020-03-01,11368,13.26,0.3822,830,1765
2020-03-01,11369,12.18,0.3626,802,2747
2020-03-01,11370,14.55,0.3407,850,2447.5
2020-03-01,11372,10.23,0.3925,863,2022.5
2020-03-01,11373,16.85,0.3651,843,1996
2020-03-01,11374,14.62,0.3407,850,2757
2020-03-01,11375,6.46,0.3467,868.5,3249
2020-03-01,11377,10.32,0.3463,821.5,2599.5
2020-03-01,11378,5.52,0.3325,976,3340
2020-03-01,11379,12.21,0.3308,996,2802.5
